Specifications of soil vegetation components and erosion parameters
id	soil_id	veg_id	musle_k[(ton acre hr)/(acre ft-ton inch)]	musle_c[-]	musle_p[-]	coarse_fraction[%]	manning_n	irrigation
1	1016	45	0.165879848055325	8e-04	1	0.0198	0.2	0
3	1016	50	0.165879848055325	0.25	1	0.0198	0.14	1
5	1016	55	0.165879848055325	0.177	1	0.0198	0.177	0
7	1016	60	0.165879848055325	0.03	1	0.0198	0.25	0
9	1016	65	0.165879848055325	0.035	1	0.0198	0.2	0
11	1016	70	0.165879848055325	0.04	1	0.0198	0.15	0
13	1016	80	0.165879848055325	1	1	0.0198	0.03	0
19	1027	45	0.171544989487072	8e-04	1	0.02436	0.2	0
21	1027	50	0.171544989487072	0.25	1	0.02436	0.14	1
23	1027	55	0.171544989487072	0.177	1	0.02436	0.177	0
25	1027	60	0.171544989487072	0.03	1	0.02436	0.25	0
27	1027	65	0.171544989487072	0.035	1	0.02436	0.2	0
29	1027	70	0.171544989487072	0.04	1	0.02436	0.15	0
31	1027	80	0.171544989487072	1	1	0.02436	0.03	0
36	1035	45	0.170716111418625	8e-04	1	0.01625	0.2	0
38	1035	50	0.170716111418625	0.25	1	0.01625	0.14	1
40	1035	55	0.170716111418625	0.177	1	0.01625	0.177	0
42	1035	60	0.170716111418625	0.03	1	0.01625	0.25	0
44	1035	65	0.170716111418625	0.035	1	0.01625	0.2	0
46	1035	70	0.170716111418625	0.04	1	0.01625	0.15	0
48	1035	80	0.170716111418625	1	1	0.01625	0.03	0
53	1044	45	0.166319584987491	8e-04	1	0.01689	0.2	0
55	1044	50	0.166319584987491	0.25	1	0.01689	0.14	1
57	1044	55	0.166319584987491	0.177	1	0.01689	0.177	0
59	1044	60	0.166319584987491	0.03	1	0.01689	0.25	0
61	1044	65	0.166319584987491	0.035	1	0.01689	0.2	0
63	1044	70	0.166319584987491	0.04	1	0.01689	0.15	0
65	1044	80	0.166319584987491	1	1	0.01689	0.03	0
71	1070	45	0.174740397189196	8e-04	1	0.03269	0.2	0
73	1070	50	0.174740397189196	0.25	1	0.03269	0.14	1
75	1070	55	0.174740397189196	0.177	1	0.03269	0.177	0
77	1070	60	0.174740397189196	0.03	1	0.03269	0.25	0
79	1070	65	0.174740397189196	0.035	1	0.03269	0.2	0
81	1070	70	0.174740397189196	0.04	1	0.03269	0.15	0
83	1070	80	0.174740397189196	1	1	0.03269	0.03	0
89	1073	45	0.172145648507956	8e-04	1	0.02181	0.2	0
91	1073	50	0.172145648507956	0.25	1	0.02181	0.14	1
93	1073	55	0.172145648507956	0.177	1	0.02181	0.177	0
95	1073	60	0.172145648507956	0.03	1	0.02181	0.25	0
97	1073	65	0.172145648507956	0.035	1	0.02181	0.2	0
99	1073	70	0.172145648507956	0.04	1	0.02181	0.15	0
101	1073	80	0.172145648507956	1	1	0.02181	0.03	0
107	1079	45	0.172873227485365	8e-04	1	0.02526	0.2	0
109	1079	50	0.172873227485365	0.25	1	0.02526	0.14	1
111	1079	55	0.172873227485365	0.177	1	0.02526	0.177	0
113	1079	60	0.172873227485365	0.03	1	0.02526	0.25	0
115	1079	65	0.172873227485365	0.035	1	0.02526	0.2	0
117	1079	70	0.172873227485365	0.04	1	0.02526	0.15	0
118	1079	80	0.172873227485365	1	1	0.02526	0.03	0
123	1094	45	0.171892159591596	8e-04	1	0.03566	0.2	0
125	1094	50	0.171892159591596	0.25	1	0.03566	0.14	1
127	1094	55	0.171892159591596	0.177	1	0.03566	0.177	0
129	1094	60	0.171892159591596	0.03	1	0.03566	0.25	0
131	1094	65	0.171892159591596	0.035	1	0.03566	0.2	0
133	1094	80	0.171892159591596	1	1	0.03566	0.03	0
138	1110	45	0.169402128174767	8e-04	1	0.03051	0.2	0
140	1110	50	0.169402128174767	0.25	1	0.03051	0.14	1
142	1110	55	0.169402128174767	0.177	1	0.03051	0.177	0
144	1110	60	0.169402128174767	0.03	1	0.03051	0.25	0
146	1110	65	0.169402128174767	0.035	1	0.03051	0.2	0
148	1110	80	0.169402128174767	1	1	0.03051	0.03	0
